RED1,RED2,RED3,RED4,RED5,OCCURRENCE,ISSUE
1,3,6,10,11,1,18135 
1,3,6,10,21,1,12015 
1,3,6,10,23,1,12015 
1,3,6,10,29,1,18135 
1,3,6,11,12,1,10017 
1,3,6,11,23,1,10017 
1,3,6,11,29,1,18135 
1,3,6,12,16,1,10028 
1,3,6,12,23,1,10017 
1,3,6,12,32,1,10028 
1,3,6,13,30,1,14074 
1,3,6,13,31,1,14074 
1,3,6,16,22,1,06151 
1,3,6,16,29,1,16075 
1,3,6,16,32,2,16075 10028 
1,3,6,17,25,1,11037 
1,3,6,19,21,1,17075 
1,3,6,19,29,1,17075 
1,3,6,19,31,1,19079 
1,3,6,20,21,1,18056 
1,3,6,20,26,1,18056 
1,3,6,21,23,1,12015 
1,3,6,21,26,1,18056 
1,3,6,21,29,1,17075 
1,3,6,21,32,1,05027 
1,3,6,22,23,1,05018 
1,3,6,22,25,1,05018 
1,3,6,23,25,1,05018 
1,3,6,29,32,1,16075 
1,3,6,30,31,1,14074 
1,3,7,8,10,1,06118 
1,3,7,8,25,1,04087 
1,3,7,8,26,1,04087 
1,3,7,8,30,1,06118 
1,3,7,9,11,1,21020 
1,3,7,10,22,1,20113 
1,3,7,10,25,1,04001 
1,3,7,10,30,1,06118 
1,3,7,10,32,1,20113 
1,3,7,12,19,1,16145 
1,3,7,12,20,1,16145 
1,3,7,13,19,1,14072 
1,3,7,13,32,1,14072 
1,3,7,14,24,1,04117 
1,3,7,14,25,1,04117 
1,3,7,14,26,1,10014 
1,3,7,14,28,1,10014 
1,3,7,18,19,1,16039 
1,3,7,18,20,1,05088 
1,3,7,18,23,1,10148 
1,3,7,18,24,1,05088 
1,3,7,18,27,2,16039 10148 
1,3,7,19,20,1,16145 
1,3,7,19,27,1,16039 
1,3,7,19,32,1,14072 
1,3,7,20,24,1,05088 
1,3,7,21,27,1,20064 
1,3,7,21,32,1,20064 
1,3,7,22,32,1,20113 
1,3,7,23,27,1,10148 
1,3,7,24,25,1,04117 
1,3,7,25,26,1,04087 
1,3,7,26,28,1,10014 
1,3,7,27,32,1,20064 
1,3,8,10,30,1,06118 
1,3,8,11,22,1,15128 
1,3,8,11,28,1,15128 
1,3,8,11,29,1,15150 
1,3,8,11,31,1,15150 
1,3,8,13,18,1,18040 
1,3,8,13,23,1,18040 
1,3,8,13,32,1,10056 
1,3,8,14,33,1,04116 
1,3,8,15,17,1,09005 
1,3,8,15,21,1,09005 
1,3,8,16,29,1,10098 
1,3,8,16,33,1,10098 
1,3,8,17,21,1,09005 
1,3,8,18,23,1,18040 
1,3,8,21,31,1,15010 
1,3,8,22,28,1,15128 
1,3,8,25,26,1,04087 
1,3,8,25,31,1,14034 
1,3,8,29,31,1,15150 
1,3,8,29,33,1,10098 
1,3,9,11,17,1,10078 
1,3,9,11,23,1,10078 
1,3,9,11,26,1,07041 
1,3,9,11,31,1,07041 
1,3,9,15,16,1,11109 
1,3,9,15,33,1,11109 
1,3,9,16,33,1,11109 
1,3,9,17,23,1,10078 
1,3,9,19,31,1,19079 
1,3,9,26,31,1,07041 
1,3,10,11,29,1,18135 
1,3,10,12,18,1,16044 
1,3,10,12,24,1,16079 
1,3,10,12,28,1,16079 
1,3,10,12,30,1,16044 
1,3,10,18,29,1,17067 
1,3,10,18,30,1,16044 
1,3,10,19,20,1,15112 
1,3,10,19,27,1,15112 
1,3,10,20,27,1,15112 
1,3,10,21,23,1,12015 
1,3,10,21,26,1,03006 
1,3,10,21,27,1,03006 
1,3,10,22,32,1,20113 
1,3,10,24,28,2,21079 16079 
1,3,10,24,29,1,21079 
1,3,10,26,27,1,03006 
1,3,10,28,29,1,21079 
1,3,11,12,19,1,20058 
1,3,11,12,23,1,10017 
1,3,11,12,26,1,20058 
1,3,11,17,23,1,10078 
1,3,11,18,22,1,17023 
1,3,11,19,23,1,18049 
1,3,11,19,26,1,20058 
1,3,11,22,28,1,15128 
1,3,11,26,31,1,07041 
1,3,11,29,31,1,15150 
1,3,12,15,19,1,17110 
1,3,12,15,23,1,17110 
1,3,12,16,32,1,10028 
1,3,12,18,30,1,16044 
1,3,12,19,20,1,16145 
1,3,12,19,23,1,17110 
1,3,12,19,26,1,20058 
1,3,12,19,27,1,21133 
1,3,12,19,31,1,21133 
1,3,12,20,21,1,09072 
1,3,12,20,29,1,09072 
1,3,12,21,28,1,11070 
1,3,12,21,29,1,09072 
1,3,12,24,26,1,10110 
1,3,12,24,27,1,10110 
1,3,12,24,28,1,16079 
1,3,12,26,27,1,10110 
1,3,12,27,31,1,21133 
1,3,13,16,18,1,11006 
1,3,13,16,21,1,11013 
1,3,13,16,22,1,11013 
1,3,13,18,23,1,18040 
1,3,13,19,25,1,12010 
1,3,13,19,26,1,12010 
1,3,13,19,32,1,14072 
1,3,13,21,22,1,11013 
1,3,13,21,25,1,15093 
1,3,13,21,31,1,15093 
1,3,13,25,26,1,12010 
1,3,13,25,31,1,15093 
1,3,13,30,31,1,14074 
1,3,14,18,26,1,03083 
1,3,14,18,28,1,03083 
1,3,14,19,30,1,09135 
1,3,14,19,33,2,19014 09135 
1,3,14,24,25,1,04117 
1,3,14,26,28,2,10014 03083 
1,3,14,26,29,1,18101 
1,3,14,26,33,1,18101 
1,3,14,29,33,1,18101 
1,3,14,30,31,1,16089 
1,3,14,30,32,1,16089 
1,3,14,30,33,1,09135 
1,3,14,31,32,1,16089 
1,3,15,16,31,1,13130 
1,3,15,16,33,2,13130 11109 
1,3,15,17,21,1,09005 
1,3,15,19,23,1,17110 
1,3,15,19,25,1,06074 
1,3,15,19,33,1,06074 
1,3,15,20,22,1,12130 
1,3,15,20,31,1,12130 
1,3,15,22,31,1,12130 
1,3,15,25,33,1,06074 
1,3,15,30,33,1,09031 
1,3,15,31,33,1,13130 
1,3,16,17,20,1,13066 
1,3,16,17,32,1,13066 
1,3,16,18,22,1,09149 
1,3,16,18,23,2,10013 07054 
1,3,16,18,28,1,07054 
1,3,16,18,29,1,09149 
1,3,16,20,32,1,13066 
1,3,16,21,22,1,11013 
1,3,16,22,29,1,09149 
1,3,16,23,28,1,07054 
1,3,16,29,32,1,16075 
1,3,16,29,33,1,10098 
1,3,16,31,33,1,13130 
1,3,17,20,21,1,06095 
1,3,17,20,29,1,06095 
1,3,17,20,32,1,13066 
1,3,17,21,29,1,06095 
1,3,17,23,30,1,09024 
1,3,17,23,33,1,09024 
1,3,17,25,31,1,17018 
1,3,17,30,33,1,09024 
1,3,18,19,26,1,20123 
1,3,18,19,27,1,16039 
1,3,18,19,29,1,20123 
1,3,18,20,24,1,05088 
1,3,18,22,23,2,21081 04015 
1,3,18,22,29,2,21124 09149 
1,3,18,22,32,1,21124 
1,3,18,23,27,1,10148 
1,3,18,23,28,1,07054 
1,3,18,24,25,1,08129 
1,3,18,24,32,1,08129 
1,3,18,25,32,1,08129 
1,3,18,26,28,1,03083 
1,3,18,26,29,1,20123 
1,3,18,27,28,1,08092 
1,3,18,27,30,1,08092 
1,3,18,27,31,1,15060 
1,3,18,27,32,1,15060 
1,3,18,28,30,1,08092 
1,3,18,29,32,1,21124 
1,3,18,31,32,1,15060 
1,3,19,20,27,1,15112 
1,3,19,21,29,1,17075 
1,3,19,24,32,1,16101 
1,3,19,24,33,1,16101 
1,3,19,25,26,1,12010 
1,3,19,25,33,1,06074 
1,3,19,26,29,1,20123 
1,3,19,27,31,1,21133 
1,3,19,30,33,1,09135 
1,3,19,32,33,1,16101 
1,3,20,21,26,1,18056 
1,3,20,21,28,1,15121 
1,3,20,21,29,3,15121 09072 06095 
1,3,20,21,31,1,15072 
1,3,20,22,31,1,12130 
1,3,20,25,27,1,11111 
1,3,20,28,29,1,15121 
1,3,21,22,31,1,10066 
1,3,21,22,32,1,10066 
1,3,21,25,31,1,15093 
1,3,21,26,27,1,03006 
1,3,21,27,32,1,20064 
1,3,21,28,29,1,15121 
1,3,21,31,32,1,10066 
1,3,22,23,25,1,05018 
1,3,22,29,32,1,21124 
1,3,22,31,32,1,10066 
1,3,23,30,33,1,09024 
1,3,23,31,32,1,15106 
1,3,24,25,32,1,08129 
1,3,24,26,27,1,10110 
1,3,24,28,29,1,21079 
1,3,24,32,33,1,16101 
1,3,26,29,33,1,18101 
1,3,27,28,30,1,08092 
1,3,27,31,32,1,15060 
1,3,30,31,32,1,16089 
1,4,5,8,21,1,07087 
1,4,5,9,15,2,12001 11010 
1,4,5,9,17,1,12001 
1,4,5,9,19,1,11010 
1,4,5,11,29,1,14054 
1,4,5,11,30,1,14054 
1,4,5,14,16,1,11028 
1,4,5,14,17,1,11028 
1,4,5,14,19,1,11123 
1,4,5,14,28,1,11123 
1,4,5,15,17,1,12001 
1,4,5,15,19,1,11010 
1,4,5,16,17,1,11028 
1,4,5,17,24,1,09021 
1,4,5,17,27,1,09021 
1,4,5,18,19,1,07008 
1,4,5,18,25,1,07008 
1,4,5,19,25,1,07008 
1,4,5,19,28,1,11123 
1,4,5,24,27,1,09021 
1,4,5,29,30,1,14054 
1,4,6,7,29,1,07059 
1,4,6,8,21,1,18043 
1,4,6,8,24,1,18043 
1,4,6,10,11,2,21024 20008 
1,4,6,10,18,1,21024 
1,4,6,10,28,1,20008 
1,4,6,11,18,1,21024 
1,4,6,11,28,1,20008 
1,4,6,13,16,1,15094 
1,4,6,13,17,2,15094 12137 
1,4,6,14,20,1,21132 
1,4,6,14,28,2,21132 18065 
1,4,6,14,33,1,18065 
1,4,6,16,17,1,15094 
1,4,6,16,22,1,06151 
1,4,6,17,19,1,17066 
1,4,6,17,25,1,11037 
1,4,6,17,26,1,17066 
1,4,6,19,21,1,20070 
1,4,6,19,26,1,17066 
1,4,6,20,28,1,21132 
1,4,6,21,24,1,18043 
1,4,6,21,32,1,05027 
1,4,6,22,26,1,08152 
1,4,6,22,29,1,19134 
1,4,6,22,30,2,19134 08152 
1,4,6,26,30,1,08152 
1,4,6,28,33,1,18065 
1,4,6,29,30,1,19134 
1,4,7,8,13,1,07109 
1,4,7,8,14,1,07109 
1,4,7,10,23,1,17042 
1,4,7,13,14,2,11096 07109 
1,4,7,13,19,1,11096 
1,4,7,14,19,1,11096 
1,4,7,14,30,2,21106 05122 
1,4,7,14,31,1,21106 
1,4,7,14,32,1,05122 
1,4,7,15,28,1,15144 
1,4,7,15,32,1,15144 
1,4,7,19,22,1,15020 
1,4,7,19,23,1,15020 
1,4,7,22,23,1,15020 
1,4,7,28,32,1,15144 
1,4,7,30,31,1,21106 
1,4,7,30,32,1,05122 
1,4,8,9,14,1,17076 
1,4,8,9,15,1,17076 
1,4,8,9,19,1,04033 
1,4,8,9,20,1,04033 
1,4,8,9,22,1,05004 
1,4,8,9,23,1,05004 
1,4,8,10,13,1,08051 
1,4,8,10,33,1,08051 
1,4,8,11,21,1,04084 
1,4,8,11,25,1,04084 
1,4,8,12,29,1,07035 
1,4,8,12,31,1,07035 
1,4,8,13,14,1,07109 
1,4,8,13,24,1,17038 
1,4,8,13,27,1,17038 
1,4,8,13,28,1,04092 
1,4,8,13,31,1,04092 
1,4,8,13,33,1,08051 
1,4,8,14,15,1,17076 
1,4,8,15,27,1,17003 
1,4,8,15,32,1,17003 
1,4,8,17,25,1,10127 
1,4,8,17,33,1,10127 
1,4,8,19,20,1,04033 
1,4,8,19,29,1,21065 
1,4,8,19,33,1,21065 
1,4,8,21,24,1,18043 
1,4,8,21,25,1,04084 
1,4,8,22,23,1,05004 
1,4,8,24,27,1,17038 
1,4,8,25,31,1,14034 
1,4,8,25,33,1,10127 
1,4,8,27,32,1,17003 
1,4,8,28,31,1,04092 
1,4,8,29,31,1,07035 
1,4,8,29,33,1,21065 
1,4,9,10,20,1,11029 
1,4,9,10,31,1,11029 
1,4,9,12,15,1,18067 
1,4,9,12,18,1,18067 
1,4,9,13,16,1,13009 
1,4,9,13,23,1,13009 
1,4,9,14,15,1,17076 
1,4,9,15,17,1,12001 
1,4,9,15,18,1,18067 
1,4,9,15,19,1,11010 
1,4,9,15,22,1,13067 
1,4,9,15,30,1,13067 
1,4,9,15,33,1,16051 
1,4,9,16,23,1,13009 
1,4,9,18,19,1,20026 
1,4,9,18,31,1,20026 
1,4,9,19,20,1,04033 
1,4,9,19,31,1,20026 
1,4,9,20,31,1,11029 
1,4,9,21,31,1,19101 
1,4,9,21,33,1,19101 
1,4,9,22,23,1,05004 
1,4,9,22,30,1,13067 
1,4,9,31,33,1,19101 
1,4,10,11,14,1,18053 
1,4,10,11,18,1,21024 
1,4,10,11,27,1,18053 
1,4,10,11,28,1,20008 
1,4,10,12,30,1,19146 
1,4,10,12,32,1,19146 
1,4,10,13,18,1,07134 
1,4,10,13,21,1,13081 
1,4,10,13,25,1,07134 
1,4,10,13,31,1,13081 
1,4,10,13,33,1,08051 
1,4,10,14,23,1,18090 
1,4,10,14,27,1,18053 
1,4,10,18,19,1,18050 
1,4,10,18,25,1,07134 
1,4,10,18,29,1,17067 
1,4,10,20,31,1,11029 
1,4,10,21,31,1,13081 
1,4,10,30,32,1,19146 
1,4,11,12,14,1,20132 
1,4,11,12,19,1,03085 
1,4,11,12,23,1,20132 
1,4,11,12,27,1,03085 
1,4,11,13,17,1,20037 
1,4,11,13,24,1,20037 
1,4,11,14,23,1,20132 
1,4,11,14,27,1,18053 
1,4,11,17,19,1,10058 
1,4,11,17,24,1,20037 
1,4,11,17,29,1,10058 
1,4,11,18,22,1,17023 
1,4,11,19,23,1,18049 
1,4,11,19,27,1,03085 
1,4,11,19,29,1,10058 
1,4,11,19,32,1,21010 
1,4,11,19,33,1,21010 
1,4,11,21,23,1,15118 
1,4,11,21,25,1,04084 
1,4,11,21,31,1,15118 
1,4,11,23,31,1,15118 
1,4,11,28,31,1,17101 
1,4,11,28,32,1,17101 
1,4,11,29,30,1,14054 
1,4,11,31,32,1,17101 
1,4,11,32,33,1,21010 
1,4,12,13,30,1,19100 
1,4,12,13,32,1,19100 
1,4,12,14,23,1,20132 
1,4,12,15,18,1,18067 
1,4,12,16,20,1,04096 
1,4,12,16,30,1,04096 
1,4,12,19,27,1,03085 
1,4,12,20,24,1,08085 
1,4,12,20,25,1,20115 
1,4,12,20,29,1,08085 
1,4,12,20,30,1,04096 
1,4,12,20,32,1,20115 
1,4,12,21,24,1,13027 
1,4,12,24,29,1,08085 
1,4,12,25,32,1,20115 
1,4,12,29,31,1,07035 
1,4,12,30,32,2,19146 19100 
1,4,13,14,19,1,11096 
1,4,13,16,17,1,15094 
1,4,13,16,23,1,13009 
1,4,13,17,24,1,20037 
1,4,13,18,25,1,07134 
1,4,13,19,20,1,06102 
1,4,13,19,24,1,06102 
1,4,13,20,24,1,06102 
1,4,13,21,31,1,13081 
1,4,13,23,28,1,04011 
1,4,13,23,30,1,04011 
1,4,13,24,27,1,17038 
1,4,13,28,30,1,04011 
1,4,13,28,31,1,04092 
1,4,13,30,32,1,19100 
1,4,14,15,17,1,21045 
1,4,14,15,32,1,21045 
1,4,14,16,17,1,11028 
1,4,14,16,26,1,07026 
1,4,14,16,29,1,07026 
1,4,14,17,32,1,21045 
1,4,14,18,24,1,19085 
1,4,14,18,29,1,19085 
1,4,14,19,28,1,11123 
1,4,14,20,28,1,21132 
1,4,14,22,30,1,09136 
1,4,14,22,33,1,09136 
1,4,14,24,29,1,19085 
1,4,14,26,29,1,07026 
1,4,14,28,33,1,18065 
1,4,14,30,31,1,21106 
1,4,14,30,32,1,05122 
1,4,14,30,33,1,09136 
1,4,15,16,23,1,08094 
1,4,15,16,28,1,08094 
1,4,15,17,22,1,17077 
1,4,15,17,27,1,06147 
1,4,15,17,28,1,13104 
1,4,15,17,31,1,06147 
1,4,15,17,32,1,21045 
1,4,15,22,30,1,13067 
1,4,15,23,28,1,08094 
1,4,15,27,31,1,06147 
1,4,15,27,32,1,17003 
1,4,15,28,32,1,15144 
1,4,16,20,30,1,04096 
1,4,16,21,23,1,10015 
1,4,16,21,28,1,10015 
